,Wk,Day,Date,Time,Home,Away,HomeGoals,AwayGoals,HXG,AXG,,,Attendance,Venue,Referee
106,16,Tue,3/1/2023,16:30,OFI Crete,Volos NFC,0,0,1.4,0.8,,,NA,Stadio Thódoros Vardinoyánnis,Angelos Evangelou
107,16,Tue,3/1/2023,17:00,Levadiakos,Panathinaikos,0,1,0.7,0.7,,,NA,Stadio Apóstolos Nikolaidis,Alexandros Tsakalidis
108,16,Tue,3/1/2023,20:00,PAS Giannina,AEK Athens,2,1,0.3,1.5,,,NA,Stadio Zosimades,Vassilis Fotias
109,16,Tue,3/1/2023,21:30,Ionikos,Olympiacos,0,2,0,1.1,,,NA,Dimotiko Gipedo Neapolis Nikaias,Aristotelis Diamantopoulos
110,16,Wed,4/1/2023,17:00,Asteras Tripoli,PAS Lamia,3,0,1.3,0.2,,,NA,Stadio Theodoros Kolokotronis,Konstantinos Katoikos
111,16,Wed,4/1/2023,18:00,Panetolikos,Atromitos,2,0,1.3,0.3,,,NA,Stadio Panetolikou,Dimitris Maloutas
112,16,Wed,4/1/2023,20:00,PAOK,Aris,1,0,1.4,0.2,,,NA,Stadio Toumbas,Tamás Bognár
113,17,Sat,7/1/2023,17:30,Levadiakos,PAS Giannina,1,3,0.5,0.8,,,NA,Stadio Levadias,Evangelos Manouhos
114,17,Sat,7/1/2023,19:30,PAS Lamia,PAOK,0,3,0.2,1.5,,,NA,Dimotiko Athlitiko Kentro Lamias,Stefanos Koubarakis
115,17,Sun,8/1/2023,16:00,Volos NFC,Olympiacos,0,4,0.5,2.5,,,NA,Dimotiko Stadio Neapolis Volou,Anastasios Papapetrou
116,17,Sun,8/1/2023,17:00,Atromitos,Ionikos,2,0,2.3,0.4,,,NA,Stadio Peristeriou,Ioannis Papadopoulos
117,17,Sun,8/1/2023,19:00,Aris,Asteras Tripoli,3,0,1.4,0.5,,,NA,Stadio Harilaou Kleánthis Vikelídis,Athanasios Tzilos
118,17,Sun,8/1/2023,19:30,AEK Athens,Panathinaikos,1,0,1.4,0.3,,,NA,Olympiako Stadio Spyros Louis,António Nobre
119,17,Mon,9/1/2023,17:00,Panetolikos,OFI Crete,0,4,0.2,0.9,,,NA,Stadio Panetolikou,Stavros Tsimenteridis
120,18,Sat,14/1/2023,17:00,PAS Lamia,Atromitos,1,1,1.8,1.1,,,NA,Dimotiko Athlitiko Kentro Lamias,Aristotelis Diamantopoulos
121,18,Sat,14/1/2023,20:00,PAOK,OFI Crete,0,0,1,0.3,,,NA,Stadio Toumbas,Dimitrios Karantonis
122,18,Sun,15/1/2023,16:00,AEK Athens,Panetolikos,4,1,2.9,0.9,,,NA,Olympiako Stadio Spyros Louis,Christos Vergetis
123,18,Sun,15/1/2023,17:00,Asteras Tripoli,Levadiakos,0,0,0.6,0.3,,,NA,Stadio Theodoros Kolokotronis,Ioannis Papadopoulos
124,18,Sun,15/1/2023,19:30,Olympiacos,Aris,1,0,1.2,0.8,,,NA,Stadio Georgios Karaiskáki,Roi Reinshreiber
125,18,Sun,15/1/2023,20:30,PAS Giannina,Panathinaikos,0,1,0.7,2,,,NA,Stadio Zosimades,Petros Tsagarakis
126,18,Mon,16/1/2023,19:30,Ionikos,Volos NFC,0,1,0.6,1.5,,,NA,Dimotiko Gipedo Neapolis Nikaias,Konstantinos Perrakis
127,19,Fri,20/1/2023,20:30,Panetolikos,PAS Giannina,1,1,0.5,0.5,,,NA,Stadio Panetolikou,
